theta,budget,reward,queries
1.0,18.900000000000002,0.8655338287353516,17.0
1.0,19.0,0.9119014739990234,19.0
1.0,19.1,0.9119014739990234,19.0
1.0,19.200000000000003,0.9119014739990234,19.0
1.0,19.3,0.9119014739990234,19.0
1.0,19.400000000000002,0.9119014739990234,19.0
1.0,19.5,0.9119014739990234,19.0
1.0,19.6,0.9119014739990234,19.0
1.0,19.700000000000003,0.9119014739990234,19.0
1.0,19.8,0.9119014739990234,19.0
1.0,19.900000000000002,0.9119014739990234,19.0
1.0,20.0,0.9119014739990234,19.0
1.0,20.1,0.9119014739990234,19.0
1.0,20.200000000000003,0.9119014739990234,19.0
1.0,20.3,0.9119014739990234,19.0
1.0,20.400000000000002,0.9119014739990234,19.0
1.0,20.5,0.9119014739990234,19.0
1.0,20.6,0.9119014739990234,19.0
1.0,20.700000000000003,0.9119014739990234,19.0
1.0,20.8,0.9119014739990234,19.0
1.0,20.900000000000002,0.9119014739990234,19.0
1.0,21.0,1.0,21.0
